Run,read_length,paired,mseqs,fastq_size_gb,split_fq_size_gb,trimmed_fq_size_gb,mapped_BAM_size_gb,Library_Prep,derived_data_size_gb,minimum_possible_size_gb,practical_storage_size_gb,full_data_size_gb,practical_cost,full_cost
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,10X 3' RNA,45.263929251630856,45.263929251630856,158.42375238070798,248.95161088396972,259.81495390436106,408.2806418497103
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,10X 5' RNA,45.263929251630856,45.263929251630856,158.42375238070798,248.95161088396972,259.81495390436106,408.2806418497103
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,10X VDJ-seq,45.263929251630856,45.263929251630856,158.42375238070798,248.95161088396972,259.81495390436106,408.2806418497103
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,4C,0,45.263929251630856,113.15982312907714,203.68768163233887,185.5821099316865,334.0477978770357
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,ATAC-Seq,0,45.263929251630856,113.15982312907714,203.68768163233887,185.5821099316865,334.0477978770357
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,Bisulfite-seq (PBAT),90.52785850326171,45.263929251630856,203.68768163233887,294.2155401356006,334.0477978770357,482.5134858223849
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,Bisulfite-seq (Reduced Representation),45.263929251630856,45.263929251630856,158.42375238070798,248.95161088396972,259.81495390436106,408.2806418497103
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,Bisulfite-seq (WGSBS),90.52785850326171,45.263929251630856,203.68768163233887,294.2155401356006,334.0477978770357,482.5134858223849
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,CHiC,0,45.263929251630856,113.15982312907714,203.68768163233887,185.5821099316865,334.0477978770357
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,Genomic DNA,0,45.263929251630856,113.15982312907714,203.68768163233887,185.5821099316865,334.0477978770357
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,HiC,0,45.263929251630856,113.15982312907714,203.68768163233887,185.5821099316865,334.0477978770357
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,Histone ChIP,0,45.263929251630856,113.15982312907714,203.68768163233887,185.5821099316865,334.0477978770357
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,MeDIP,0,45.263929251630856,113.15982312907714,203.68768163233887,185.5821099316865,334.0477978770357
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,NOMe-seq,0,45.263929251630856,113.15982312907714,203.68768163233887,185.5821099316865,334.0477978770357
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,non-standard Bisulfite,90.52785850326171,45.263929251630856,203.68768163233887,294.2155401356006,334.0477978770357,482.5134858223849
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,Protein ChIP,0,45.263929251630856,113.15982312907714,203.68768163233887,185.5821099316865,334.0477978770357
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,RNA-Seq,0,45.263929251630856,113.15982312907714,203.68768163233887,185.5821099316865,334.0477978770357
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,scBS-seq,0,45.263929251630856,113.15982312907714,203.68768163233887,185.5821099316865,334.0477978770357
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,scNMT-Seq,45.263929251630856,45.263929251630856,158.42375238070798,248.95161088396972,259.81495390436106,408.2806418497103
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,SLAM-Seq,0,45.263929251630856,113.15982312907714,203.68768163233887,185.5821099316865,334.0477978770357
AVITI High Output,75,FALSE,1000,45.263929251630856,45.263929251630856,45.263929251630856,67.89589387744628,Small RNA,0,45.263929251630856,113.15982312907714,203.68768163233887,185.5821099316865,334.0477978770357
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,10X 3' RNA,90.52785850326171,90.52785850326171,316.84750476141596,497.90322176793944,519.6299078087221,816.5612836994206
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,10X 5' RNA,90.52785850326171,90.52785850326171,316.84750476141596,497.90322176793944,519.6299078087221,816.5612836994206
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,10X VDJ-seq,90.52785850326171,90.52785850326171,316.84750476141596,497.90322176793944,519.6299078087221,816.5612836994206
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,4C,0,90.52785850326171,226.31964625815428,407.37536326467773,371.164219863373,668.0955957540714
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,ATAC-Seq,0,90.52785850326171,226.31964625815428,407.37536326467773,371.164219863373,668.0955957540714
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,Bisulfite-seq (PBAT),181.05571700652342,90.52785850326171,407.37536326467773,588.4310802712012,668.0955957540714,965.0269716447698
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,Bisulfite-seq (Reduced Representation),90.52785850326171,90.52785850326171,316.84750476141596,497.90322176793944,519.6299078087221,816.5612836994206
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,Bisulfite-seq (WGSBS),181.05571700652342,90.52785850326171,407.37536326467773,588.4310802712012,668.0955957540714,965.0269716447698
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,CHiC,0,90.52785850326171,226.31964625815428,407.37536326467773,371.164219863373,668.0955957540714
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,Genomic DNA,0,90.52785850326171,226.31964625815428,407.37536326467773,371.164219863373,668.0955957540714
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,HiC,0,90.52785850326171,226.31964625815428,407.37536326467773,371.164219863373,668.0955957540714
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,Histone ChIP,0,90.52785850326171,226.31964625815428,407.37536326467773,371.164219863373,668.0955957540714
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,MeDIP,0,90.52785850326171,226.31964625815428,407.37536326467773,371.164219863373,668.0955957540714
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,NOMe-seq,0,90.52785850326171,226.31964625815428,407.37536326467773,371.164219863373,668.0955957540714
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,non-standard Bisulfite,181.05571700652342,90.52785850326171,407.37536326467773,588.4310802712012,668.0955957540714,965.0269716447698
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,Protein ChIP,0,90.52785850326171,226.31964625815428,407.37536326467773,371.164219863373,668.0955957540714
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,RNA-Seq,0,90.52785850326171,226.31964625815428,407.37536326467773,371.164219863373,668.0955957540714
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,scBS-seq,0,90.52785850326171,226.31964625815428,407.37536326467773,371.164219863373,668.0955957540714
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,scNMT-Seq,90.52785850326171,90.52785850326171,316.84750476141596,497.90322176793944,519.6299078087221,816.5612836994206
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,SLAM-Seq,0,90.52785850326171,226.31964625815428,407.37536326467773,371.164219863373,668.0955957540714
AVITI High Output,75,TRUE,1000,90.52785850326171,90.52785850326171,90.52785850326171,135.79178775489257,Small RNA,0,90.52785850326171,226.31964625815428,407.37536326467773,371.164219863373,668.0955957540714
AVITI High Output,150,FALSE,1000,91.60275650434626,91.60275650434626,91.60275650434626,137.4041347565194,10X 3' RNA,91.60275650434626,91.60275650434626,320.6096477652119,503.81516077390444,525.7998223349475,826.2568636692032
AVITI High Output,150,FALSE,1000,91.60275650434626,91.60275650434626,91.60275650434626,137.4041347565194,10X 5' RNA,91.60275650434626,91.60275650434626,320.6096477652119,503.81516077390444,525.7998223349475,826.2568636692032
AVITI High Output,150,FALSE,1000,91.60275650434626,91.60275650434626,91.60275650434626,137.4041347565194,10X VDJ-seq,91.60275650434626,91.60275650434626,320.6096477652119,503.81516077390444,525.7998223349475,826.2568636692032
